case,campaign,measured,predicted,name
TR1,inter-ramp,1.62,3.77,TR1
LS3,inter-ramp,2.22,4.76,LS2-3
HS2,inter-ramp,3.55,9.13,HS1-2
HR2,inter-ramp,3.73,8.30,HR2-5
LR1,inter-ramp,4.88,5.99,LR1
LS2,inter-ramp,5.03,8.19,LS2-3
DR1,inter-ramp,5.84,5.91,DR1
HS1,inter-ramp,6.65,12.32,HS1-2
HR4,inter-ramp,10.41,11.20,HR2-5
HR5,inter-ramp,15.97,12.83,HR2-5
BR1,inter-ramp,29.31,13.92,BR1
PW3-3,super-ramp,1.60,1.80,PW3
PW3-2,super-ramp,1.90,1.50,PW3
PK6-3,super-ramp,3.53,2.60,PK6
PK6-5,super-ramp,6.10,2.39,PK6
PK6-4,super-ramp,6.75,3.10,PK6
PK1-1,super-ramp,8.58,11.00,PK1
PK2-4,super-ramp,9.57,6.21,PK2
PK2-5,super-ramp,10.48,12.95,PK2
PK4-1,super-ramp,10.90,9.34,PK4
PK1-4,super-ramp,13.05,14.25,PK1
PK1-2,super-ramp,13.72,12.61,PK1
PK4-2,super-ramp,16.25,14.45,PK4
PK1-3,super-ramp,22.36,16.11,PK1
PK2-1,super-ramp,28.40,13.50,PK2
PK4-3,super-ramp,29.27,18.97,PK4
PK2-2,super-ramp,32.34,18.46,PK2
PK2-3,super-ramp,45.40,21.16,PK2
