case,A10-3,A10-4,A20-1,A20-3,A20-4,BR1,DR1,G20-1,G20-2,G20-4,HR2,HR4,HR5,HS1,HS2,LR1,LS2,LS3,PK1-1,PK1-2,PK1-3,PK1-4,PK2-1,PK2-2,PK2-3,PK2-4,PK6-3,PK6-4,PW3-2,PW3-3,TR1
0,0.32660427322053975,0.30180565517904095,0.2601231128236266,0.33962710285031644,0.3321620689173993,0.3054693694644423,0.1724662633865703,0.09251911960937524,0.13407557488309907,0.023705298916908927,0.10543243735286201,0.19945335035356448,0.24260282071498557,0.1995977866495926,0.18096440946668987,0.15131358624186828,0.17476358438016326,0.06428307251401276,0.21725523477640687,0.2604818109541372,0.32204388922642296,0.3065668294342274,0.2618012588429752,0.35182302652766806,0.39582975916392893,0.158769345520784,0.126547560079643,0.16641042158933925,0.04696931152210616,0.06637190592819582,0.08251499897179831
1,0.3088876534087191,0.2880391298190779,0.19932791021435337,0.28048084269114004,0.29864668941797784,0.219497951142441,0.10949291544351718,0.042507358060166825,0.06938977223142273,0.009293381772325077,0.057828987594458314,0.14806736150440455,0.1883971916538566,0.10801629099269006,0.11246940122431537,0.07519423129896995,0.10373617468922672,0.03577127439645841,0.16308641461229262,0.21359473479852514,0.292616796832088,0.2852703057376094,0.22664348825667388,0.32424524822519823,0.37372186551680464,0.13323161507321957,0.07178676687163169,0.10187008307718598,0.027363969727329983,0.043559113233804986,0.059204289507255446
2,0.3388567445543371,0.3151361858024545,0.2824806604645357,0.360722791524878,0.35260921797722894,0.3305316818567061,0.1923699751644333,0.11370890252459184,0.1579396047316269,0.033002697666047874,0.11831711071816652,0.2202486597771275,0.2628041712583623,0.22980758991016217,0.20101770669885805,0.17537877418493417,0.19929266410617727,0.08676662455501627,0.24672458555449403,0.2888984080309693,0.34524503525971384,0.32887838972487393,0.28821179314351303,0.3743533440979759,0.4167481082450455,0.1858751083634919,0.1504643743615491,0.19297350119154574,0.05772687088304686,0.07831089884172394,0.09105012988832137
3,0.33711384730400257,0.3132430181045178,0.27954301902753786,0.3576140040610962,0.3494235077643219,0.34575955346729975,0.1911937363217088,0.11215675979836662,0.15535615743100745,0.03250657609962375,0.11647389957775056,0.22564680263094727,0.25956848460666965,0.22950019169930788,0.19765193781793816,0.16632543081372886,0.19745977871863135,0.08533714979484128,0.2409034667068711,0.2826373482039616,0.3391700186811198,0.32232316094388036,0.28117407045648085,0.36671591477602095,0.4084035029659694,0.1753241663613045,0.1479004528057596,0.18909702801352007,0.05639705795869487,0.07671478784196568,0.0901240691344989
4,0.3349878239501556,0.3111272097728644,0.2789491837221328,0.35495048127827006,0.3468272136687435,0.33004928333228867,0.1960458313457128,0.11445343399293507,0.15805695256564148,0.03349667687620884,0.12020553727693468,0.21894938031782463,0.2494303523623201,0.22617278216181866,0.2144771875857995,0.17439736881360687,0.19764623586678087,0.08781820384322668,0.23972586678968022,0.27821102712926604,0.3329187868108251,0.31643788179204446,0.2745531605053847,0.3586560107006697,0.4001908954271978,0.1656217124706985,0.14956439089350732,0.1909634408379432,0.05669307784999674,0.07659623408985812,0.0900596927048588
5,0.338199550786333,0.31367197587827367,0.2821080824522677,0.35832369500485756,0.35058848738277404,0.3211879932674463,0.19737336540440056,0.1141898264435192,0.15813110837306135,0.03339455896283324,0.12236685974504281,0.22232666835233855,0.25348757676776845,0.228835568497108,0.21737936657513943,0.17598047333428118,0.19992044575375306,0.08860031005906502,0.247970383393215,0.2868389846010502,0.3418406582085859,0.3256929697119183,0.28548520573400116,0.36941555811817484,0.4108343516911281,0.1842965442893702,0.15039993014227085,0.19259631368529262,0.05807739969527679,0.07833270972573357,0.09547276884247866
6,0.3348838877024857,0.31101337432462206,0.27607603840846906,0.35328466992341206,0.34532098330402766,0.3207970455576404,0.19144033329485355,0.10984496170074154,0.15347583726708727,0.031187247733353962,0.11749472988935099,0.21350822713609108,0.25195837552382516,0.22034294426287057,0.19802411397630765,0.16493538739607183,0.19483705711422242,0.08691720725824016,0.23739420064066696,0.27774827969573507,0.3341676117868583,0.31804350191084146,0.2758349421104688,0.36197310675242855,0.40456180569059425,0.1709440064490747,0.1451889539695875,0.1870829496928328,0.05494245444310079,0.07497967785639018,0.08981820260155153
7,0.29716168622261235,0.2761336938507732,0.16808150811528955,0.2357810045560883,0.27494914984572544,0.15912332006932225,0.10421866051566983,0.05243796830712163,0.08313366820340792,0.011141734390844864,0.04628778326130435,0.1044971638074999,0.1430578664978247,0.08103533656000717,0.08905356142538715,0.07478177733529816,0.08449885279882519,0.030665524782012815,0.13368732372880515,0.17651445169384913,0.2502177356989795,0.2559369562879651,0.1861792345141207,0.28252505414907647,0.334304465875318,0.10551708111068683,0.07886297757189871,0.10951124265432574,0.02721096334503059,0.04150615212921664,0.04027315878341347
8,0.3392980536483002,0.31471544461028916,0.2843480267364156,0.3607687978012429,0.3526976064812164,0.3439939198904363,0.19767829023889563,0.11586179985273014,0.1593739147983096,0.03444880531582353,0.12313777607916483,0.22307443226858995,0.2631630611923617,0.23627489652428071,0.20980078245214753,0.1766017975508099,0.1995004787105064,0.09476029934239373,0.24969774579411327,0.28951860093770637,0.3440558174839672,0.3276889065247156,0.2876294621409462,0.37116836101763406,0.4118735293225652,0.1857544132352218,0.15207084811701874,0.1935063154551606,0.05902379174166797,0.07939744709515427,0.09141526103631185
9,0.3409236061227929,0.31631844845985196,0.28784792941630877,0.36493884115342784,0.3567244208277464,0.31840166979069456,0.19770111719341452,0.12069829596608812,0.16541290213091606,0.03645374999394128,0.1257534379202056,0.22600198884517275,0.26550035208406225,0.23670646210051557,0.22408089668197428,0.17503630008131488,0.2048388749914588,0.0882889910648823,0.2533047438997403,0.29379462641832826,0.34832965959889717,0.3316415480800155,0.29195492367243275,0.37664044660283263,0.41827662827456774,0.18817216214704632,0.15777586881723127,0.20033917072531424,0.06081757590111269,0.08135050456698645,0.09176353481829398
10,0.3363634313043519,0.3125517820927151,0.2764541967227731,0.3548793888910285,0.3469748674838549,0.31729756834599904,0.18922631726751882,0.10763160239308907,0.1512487774415218,0.030216002721055176,0.11319396882024216,0.21456632366287165,0.25715115564071567,0.2207723363716641,0.19944338738829717,0.17363263720383645,0.19650313914592146,0.0854470036422437,0.23950346872236636,0.28168820207284645,0.33911706196179237,0.32307852073521554,0.2813330518291016,0.3683429037808268,0.4112158157740277,0.1796690822234308,0.14361849100690824,0.18575894025658657,0.05477609793833998,0.0751248885189852,0.0901131481987655
11,0.3374863441370101,0.3128663782408003,0.26815840559626114,0.33929829770133885,0.35012057230464944,0.2820525245761536,0.1944367663520899,0.11649318858756272,0.16144628420916815,0.033921945228389254,0.113673365091776,0.20283423514886048,0.2370688287373465,0.20857817488945693,0.2003651038763466,0.16940875424283283,0.18135989634758556,0.09298771577451295,0.23877379637899523,0.27843832032083793,0.337146537537168,0.3236302173363761,0.2811406055103291,0.36768860603804016,0.4113430352874014,0.17551847098381096,0.15263373874479091,0.19601271374772605,0.05780884012576055,0.07804558876005742,0.0905873357635101
12,0.3046784440658275,0.28234691656796485,0.1883877622193761,0.26001918731323853,0.29140811832905034,0.18638801767796204,0.12209237559183027,0.06206147436438492,0.09671664324961139,0.013247900092935822,0.05814202960452387,0.1255950953637412,0.16290789949606616,0.10464370237561632,0.11323236067554451,0.08197688639380848,0.10912813886193348,0.03629816853443781,0.1496865833950868,0.19304667789075583,0.2655148041496425,0.2635756652159488,0.20178326677773958,0.29927012232567,0.35093158457642437,0.10993605994916161,0.09055648595817302,0.1243106361667866,0.030949854420370668,0.046297611576115,0.05340740903149066
13,0.33732106963951436,0.31282751583787927,0.26744975032691864,0.3390190325030996,0.349117850890664,0.28961887418947185,0.19361398575597627,0.11251668933592465,0.15697462961229758,0.03223995439635761,0.11332640041970314,0.20269086398176583,0.2371948749808194,0.20851073582743238,0.1999588056822656,0.16955858970410542,0.17853853590294208,0.09807616242140535,0.23962993430332413,0.2797666804572496,0.3404965020333945,0.3250150993486381,0.28291960758905627,0.3691839592301658,0.41263112309157923,0.18120392878735428,0.14868833471727425,0.1918195122372212,0.056844557685296164,0.07713854461042129,0.09075720918470737
14,0.2731894050148975,0.2691868609225976,0.05819280508025883,0.10271852904953938,0.15586733610350895,0.08177254084713807,0.0783595733418477,0.11404991545502205,0.16155963121982847,0.03369946942407951,0.02728626444295729,0.056901057552439356,0.08261862955368797,0.02991780915067588,0.041505673819892015,0.04844554488309657,0.04350992031757328,0.051584519405184874,0.06450598530579785,0.08691260422486,0.12411725608731473,0.2213990550019715,0.14852929645686738,0.22825812630125314,0.27565770059544986,0.10344199304585552,0.14275323864389397,0.2023284352677,0.05348908784627236,0.07493168316670845,0.042249404170160015
15,0.34145365182598025,0.3169800477493541,0.29080346171119303,0.3667877850628968,0.3588466413018617,0.3469062281287081,0.2025386931085836,0.12242813875623439,0.16635151156321906,0.037905637430775206,0.12721410145028667,0.22999314705107035,0.2687576484265155,0.2439522956285565,0.2185040291722822,0.18253310718843868,0.20622991574455637,0.0882063777565929,0.25845606290398293,0.2973098861885324,0.35092200662884004,0.33430922503860266,0.29582541731017414,0.37819890874503914,0.41843910754154684,0.19370052803523832,0.15943620016530224,0.2009450127334884,0.06252149395410703,0.0830154687043965,0.09218730922067096
16,0.31715224541701625,0.29470259868175663,0.2161863635010593,0.28320568105009913,0.31233293696376635,0.21915388206896858,0.15363967707007622,0.0784923003051368,0.11762697493211313,0.018063178826564535,0.08279499956462148,0.15315026588641698,0.1923742032006356,0.14413004695361786,0.14611514099295386,0.1320386614011565,0.1481933010889912,0.051658524818832804,0.18362769930764258,0.2259130837139221,0.29492950874852836,0.2865711362952161,0.23172774906031607,0.3246368640654461,0.3727702433898681,0.13355010100717898,0.11001850484971494,0.14751917850813634,0.03929076823639918,0.05688685891274742,0.07302297132793258
17,0.3404156377961414,0.31583623377834397,0.28777587744086175,0.36419144809055115,0.3559957471112643,0.34815089908784075,0.19850916046617237,0.12043063313037707,0.16455911985893285,0.03658986382939983,0.12438192043958952,0.22701886186706585,0.2655468156647968,0.23849141133033835,0.2226687975064958,0.1771152206468181,0.2000791824026328,0.09824187064398851,0.25258467576943555,0.2925000411142433,0.34671744923735076,0.33001359507945105,0.2902447648305925,0.3740508786232843,0.4149726823724813,0.18575501836475125,0.15706482072363698,0.19887409120515792,0.06074515745488916,0.08117521432315469,0.09163284681710247
18,0.281835421653706,0.2754216181260869,0.06386227952187834,0.10928173710974637,0.16401153415848407,0.08806684608511008,0.08654452238214064,0.1159536710869751,0.163163196184082,0.03500410306252418,0.03167249631126047,0.06206939504456389,0.083146249726602,0.038432111888111846,0.0461958111070415,0.05596972910756012,0.04576668368986711,0.05706087046642482,0.0737157229783764,0.09656262129095766,0.13683865476393237,0.2350768811046959,0.15655317994241674,0.23482564645688803,0.2816831140301999,0.11154501295118269,0.14467106044158318,0.20328418485076685,0.05460173892403541,0.07586851475627135,0.04600400758794947
19,0.33130272183238735,0.3075074274584105,0.2512841749159732,0.321400802948423,0.3386281812528841,0.2677270877625379,0.18427421995755938,0.10568093705121094,0.14959179937646785,0.02883919122081857,0.1010549546597326,0.18954759158639659,0.22400010969126893,0.18790873988639614,0.19322693435303143,0.1622998991467842,0.17775483660245084,0.0826483263813743,0.21939002062227939,0.2607028057283541,0.32146353346697587,0.31009597240033654,0.26335304125528913,0.3529343135377798,0.3985244532930863,0.15563746028378708,0.1403431109099652,0.182771841522259,0.05168591183274321,0.0712808826316502,0.08708172273866975
20,0.3336129349564976,0.30964824838569777,0.27290103213237743,0.3504065328330847,0.3423464620097597,0.3306304177428479,0.1888618367207143,0.10633163529349057,0.14905743777069003,0.029845166424177238,0.11562334578865008,0.21136712518018919,0.25369982871992397,0.22130304050032248,0.1971823183642302,0.15908732966507547,0.19285418917823827,0.08593514917675017,0.2328470505711805,0.2734701408434522,0.3305077496899384,0.31439348520794824,0.2716811912573894,0.3572309033445507,0.39912514171690877,0.16644410458958347,0.14109369453598453,0.1819145842089566,0.05335788635185057,0.07320338237810466,0.0891344005933038
21,0.33662178757795747,0.31801324453070423,0.18070382669717477,0.23248894509923934,0.3077496713515937,0.1898120826591433,0.17383943981216485,0.12156566756385848,0.1684850941447111,0.03565320199805741,0.1023344972873907,0.14188459737742157,0.16917627652470324,0.1358097187489218,0.14786021209138925,0.133135389405908,0.12048923881585015,0.07850965905650094,0.19768422168994407,0.24134457708938306,0.3022098308718006,0.32766027150705085,0.25404837583693846,0.34240056852018,0.39222660169702417,0.16711146050903453,0.15559383576967054,0.20506211537283164,0.058887375885614816,0.0799105706509673,0.06713966402677876
22,0.33541874875063005,0.30974863587655715,0.27387948287651825,0.35253863453414946,0.344518068261906,0.3332336857961439,0.18714339129632632,0.10480605419944321,0.14708993421877467,0.029190845465038334,0.11524851225873234,0.22081596885186486,0.25587499403482844,0.22289192487591317,0.19809381463263284,0.1571190669059784,0.1946268139937539,0.09591218542048711,0.2342940509657344,0.27729237169952703,0.33559173813897747,0.3190869261787767,0.2771217518170959,0.3635756199309658,0.40545769163181067,0.17353858051924134,0.1399917090962079,0.1806547003183355,0.05328016177881852,0.07350756673657512,0.08925638405580519
23,0.33365553655850305,0.30967490201036796,0.27402723163298826,0.351248610405711,0.34315298532299,0.32506801201347285,0.19050808348752543,0.10902362602992853,0.15231401978934983,0.030879523967878453,0.1167706663186547,0.21198125979147298,0.25384064005397033,0.22079345959764093,0.19536656942630967,0.1641890912613788,0.19366605046211174,0.09514094236160818,0.233424200001309,0.2734553713365986,0.32991510930901613,0.31356966995526575,0.27072739646086663,0.3565790783239366,0.3989619812359176,0.16328592312024132,0.14384997041207415,0.18520546198864443,0.05408859154982286,0.07392522230898106,0.08919454384064063
24,0.32825129447367535,0.3033164643868196,0.26300441455670376,0.34093201008220103,0.33301758621331207,0.31924869698265373,0.1843262787606876,0.09701934138445438,0.13859311573303842,0.025771016692980823,0.10474827426820943,0.20422357995493423,0.2459400014463601,0.20964604325191483,0.1830496774233006,0.16665832993734922,0.18721809836661152,0.08378312940168316,0.22098520950103642,0.26150992120393063,0.3203547526505306,0.3048496941242529,0.2606066600376584,0.3472351428256314,0.38976489634994826,0.1569394072054107,0.1306039788248585,0.17028427178241626,0.048823326889519965,0.06810471078313785,0.08706788075628784
25,0.3383620677909177,0.31545937051634904,0.259108337983671,0.32762290728514926,0.349613367007104,0.2783352509686655,0.19042180118455393,0.11793543824000624,0.16354870577429884,0.03429405080571708,0.10682740341114505,0.20064530652059726,0.23189509175867318,0.1989992842984769,0.20007971171580052,0.16703844596646308,0.18889196028469965,0.08991133599357834,0.2358379682338493,0.27831760981671,0.3378933953522259,0.3286619272301808,0.2833126259500801,0.3721161637908216,0.4177135657279361,0.17871894397509794,0.1549118614074446,0.19906543503310503,0.05830402630778418,0.07893288569161998,0.08943942385187828
